id,client,p1,p2,p3,date,type,influencer,referer,clientId,influencerId
1000052,c25,15232,14906,4170,2020-12-02,Order,c31,TikTok,25,31
1000053,c8,6615,19376,13795,2020-07-06,Order,c6,TikTok,8,6
1000054,c67,5280,1195,16661,2020-05-25,Order,c33,Facebook,67,33
1000055,c78,2565,4271,15319,2020-08-26,Order,c58,Youtube,78,58
1000056,c77,15756,1720,18566,2020-02-03,Order,c60,Facebook,77,60
1000057,c65,8903,10851,19672,2020-03-13,Order,c24,Facebook,65,24
1000058,c38,1844,19802,10415,2020-03-01,Order,c17,Twitter,38,17
1000059,c39,17770,2727,3340,2020-11-01,Order,c47,TikTok,39,47
1000060,c18,17453,6767,11379,2020-02-27,Order,c5,Pinterest,18,5
1000061,c66,5971,18301,4327,2020-03-29,Order,c40,Youtube,66,40
1000062,c82,13702,11759,19945,2020-10-19,Order,c15,Instagram,82,15
1000063,c31,11680,5160,19048,2020-05-11,Order,c37,Twitter,31,37
1000064,c10,12636,15881,17096,2020-05-08,Order,c4,Facebook,10,4
1000065,c47,15780,15185,2568,2020-04-24,Order,c4,Snapchat,47,4
1000066,c20,4664,13530,11549,2020-08-09,Order,c38,Snapchat,20,38
1000067,c15,12444,14306,19109,2020-08-24,Order,c37,Facebook,15,37
1000068,c28,1492,14177,4493,2020-05-11,Order,c48,Instagram,28,48
1000069,c95,13097,12340,2801,2020-06-04,Order,c5,Twitter,95,5
1000070,c18,10317,12762,1137,2020-06-08,Order,c9,TikTok,18,9
1000071,c90,19837,9634,13429,2020-03-11,Order,c21,Youtube,90,21
1000072,c9,11131,15751,4563,2020-05-15,Order,c50,Twitter,9,50
1000073,c23,16131,12160,7395,2020-10-09,Order,c23,TikTok,23,23
1000074,c53,13393,16084,18405,2020-02-15,Order,c26,Snapchat,53,26
1000075,c48,4341,16442,4250,2020-12-09,Order,c54,Facebook,48,54
1000076,c73,18566,1628,10468,2020-09-27,Order,c6,Pinterest,73,6
1000077,c8,7109,9567,11529,2020-01-03,Order,c31,TikTok,8,31
1000078,c72,14491,15739,8927,2020-02-08,Order,c46,Youtube,72,46
1000079,c60,1565,5381,12164,2020-11-15,Order,c21,Twitter,60,21
1000080,c45,9175,10694,14755,2020-02-13,Order,c51,Youtube,45,51
1000081,c49,4026,19338,16460,2020-02-27,Order,c69,Snapchat,49,69
1000082,c50,1272,17544,5476,2020-12-10,Order,c56,Snapchat,50,56
1000083,c15,8687,5035,11684,2020-09-14,Order,c41,TikTok,15,41
1000084,c8,1332,3476,5202,2020-06-07,Order,c38,Snapchat,8,38
1000085,c58,15158,17144,8843,2020-01-31,Order,c23,Pinterest,58,23
1000086,c12,12441,1040,6536,2020-10-23,Order,c68,Facebook,12,68
1000087,c81,19207,10313,2554,2020-03-30,Order,c69,Instagram,81,69
1000088,c99,12988,5262,8922,2020-06-14,Order,c49,Instagram,99,49
1000089,c35,9509,8295,3818,2020-07-05,Order,c54,Twitter,35,54
1000090,c97,18932,18343,19789,2020-07-06,Order,c22,Twitter,97,22
1000091,c60,5904,12004,8732,2020-02-06,Order,c40,Facebook,60,40
1000092,c33,17437,19078,19695,2020-11-19,Order,c66,Facebook,33,66
1000093,c14,6665,11556,5400,2020-06-03,Order,c67,TikTok,14,67
1000094,c69,15564,8837,2932,2020-10-11,Order,c67,Snapchat,69,67
1000095,c73,4857,15967,18193,2020-10-16,Order,c49,TikTok,73,49
1000096,c99,2251,4193,5749,2020-10-30,Order,c67,Facebook,99,67
1000097,c47,17003,17379,14141,2020-03-16,Order,c64,Facebook,47,64
1000098,c14,13468,10955,2470,2020-08-24,Order,c55,Facebook,14,55
1000099,c84,16913,12555,12505,2020-01-22,Order,c60,Facebook,84,60
1000100,c99,7968,1539,7629,2020-02-03,Order,c16,Pinterest,99,16
1000101,c13,12929,2931,16867,2020-01-19,Order,c31,Facebook,13,31
1000102,c37,17142,5050,10182,2020-07-15,Order,c38,Facebook,37,38
1000103,c64,15267,8167,9561,2020-10-29,Order,c54,Facebook,64,54
1000104,c13,2214,15709,5659,2020-10-10,Order,c54,Twitter,13,54
1000105,c81,17017,8836,2692,2020-03-29,Order,c15,TikTok,81,15
1000106,c29,2545,17629,18197,2020-10-05,Order,c20,Pinterest,29,20
1000107,c58,8268,18321,12293,2020-05-28,Order,c39,Pinterest,58,39
1000108,c3,13521,16032,1601,2020-07-03,Order,c8,TikTok,3,8
1000109,c18,5180,7923,19395,2020-05-25,Order,c18,Facebook,18,18
1000110,c63,9064,12776,5189,2020-04-04,Order,c33,Facebook,63,33
1000111,c56,10640,11806,10922,2020-03-12,Order,c54,Pinterest,56,54
1000112,c66,13093,3135,6625,2020-10-15,Order,c3,Pinterest,66,3
1000113,c55,17374,10590,1515,2020-09-11,Order,c3,Snapchat,55,3
1000114,c62,19744,14551,18132,2020-11-08,Order,c66,Snapchat,62,66
1000115,c92,5677,9438,12795,2020-09-14,Order,c3,Twitter,92,3
1000116,c15,2405,11615,18632,2020-10-25,Order,c7,Snapchat,15,7
1000117,c90,14038,7962,14140,2020-03-02,Order,c55,TikTok,90,55
1000118,c13,13470,18724,5780,2020-12-18,Order,c68,Snapchat,13,68
1000119,c96,8537,7452,7128,2020-05-11,Order,c66,Facebook,96,66
1000120,c58,3772,15243,3858,2020-03-16,Order,c5,Facebook,58,5
1000121,c44,12228,7933,7983,2020-09-17,Order,c52,Instagram,44,52
1000122,c58,12356,3613,5594,2020-09-12,Order,c55,Youtube,58,55
1000123,c45,14628,19131,17294,2020-08-16,Order,c7,Snapchat,45,7
1000124,c3,1377,13895,8678,2020-04-17,Order,c29,Snapchat,3,29
1000125,c53,13480,17354,6180,2020-01-03,Order,c56,TikTok,53,56
1000126,c98,12123,14177,13429,2020-02-24,Order,c11,Twitter,98,11
1000127,c34,3172,6672,5178,2020-02-28,Order,c7,Snapchat,34,7
1000128,c88,14586,18275,19172,2020-07-30,Order,c53,Instagram,88,53
1000129,c55,16340,3564,19061,2020-03-06,Order,c57,Twitter,55,57
1000130,c74,7377,10393,6159,2020-09-25,Order,c11,Pinterest,74,11
1000131,c37,18157,1468,4429,2020-06-06,Order,c7,Instagram,37,7
1000132,c48,19692,4736,18063,2020-06-25,Order,c50,TikTok,48,50
1000133,c16,14726,16088,2019,2020-07-25,Order,c36,Instagram,16,36
1000134,c50,1672,14612,13540,2020-12-10,Order,c60,Twitter,50,60
1000135,c37,13469,1301,16587,2020-01-12,Order,c64,Facebook,37,64
1000136,c64,8002,2400,2467,2020-04-15,Order,c61,Twitter,64,61
1000137,c76,16277,15250,9437,2020-06-20,Order,c55,Facebook,76,55
1000138,c15,5496,13367,14092,2020-06-03,Order,c13,Snapchat,15,13
1000139,c47,18256,10315,4956,2020-09-27,Order,c48,Facebook,47,48
1000140,c69,7497,13850,15159,2020-11-22,Order,c63,Youtube,69,63
1000141,c51,4573,13646,2724,2020-05-17,Order,c6,Facebook,51,6
1000142,c65,17245,4191,1749,2020-06-14,Order,c39,Pinterest,65,39
1000143,c44,6814,11557,3253,2020-09-27,Order,c23,Snapchat,44,23
1000144,c29,1722,15074,1587,2020-07-09,Order,c39,Twitter,29,39
1000145,c9,11057,19262,15734,2020-04-05,Order,c4,Facebook,9,4
1000146,c19,3281,4260,1396,2020-12-13,Order,c23,Youtube,19,23
1000147,c21,11886,11340,2266,2020-09-19,Order,c42,Snapchat,21,42
1000148,c60,16946,17670,2932,2020-06-20,Order,c63,Twitter,60,63
1000149,c44,9851,10563,11337,2020-07-11,Order,c58,Youtube,44,58
1000150,c50,6398,1345,8537,2020-08-31,Order,c19,Instagram,50,19
1000151,c54,14160,2763,4010,2020-11-29,Order,c60,Instagram,54,60
1000152,c64,17371,13642,14026,2020-10-19,Order,c14,TikTok,64,14
1000153,c29,9522,18219,17115,2020-10-28,Order,c45,Instagram,29,45
1000154,c51,18504,1912,6769,2020-04-17,Order,c45,Snapchat,51,45
1000155,c100,16886,8838,12762,2020-12-07,Order,c12,Snapchat,100,12
1000156,c30,6413,16130,10519,2020-12-17,Order,c28,TikTok,30,28
1000157,c87,11767,12389,8556,2020-07-02,Order,c34,Facebook,87,34
1000158,c36,1783,13233,18741,2020-03-29,Order,c2,Instagram,36,2
1000159,c67,13597,12668,15234,2020-09-17,Order,c62,Snapchat,67,62
1000160,c16,8441,16708,6448,2020-06-03,Order,c6,Facebook,16,6
1000161,c40,2985,4081,8048,2020-07-11,Order,c29,Youtube,40,29
1000162,c23,6994,11692,16180,2020-04-08,Order,c15,Facebook,23,15
1000163,c75,6449,12514,11777,2020-12-09,Order,c24,TikTok,75,24
1000164,c41,11285,3761,14491,2020-03-27,Order,c35,Youtube,41,35
1000165,c32,13711,1886,17675,2020-11-06,Order,c28,Facebook,32,28
1000166,c50,8646,14863,15686,2020-07-19,Order,c59,Snapchat,50,59
1000167,c100,19365,11755,17016,2020-10-02,Order,c13,Facebook,100,13
1000168,c11,11849,6293,4341,2020-02-29,Order,c69,Pinterest,11,69
1000169,c47,4843,18402,17275,2020-05-18,Order,c61,Twitter,47,61
1000170,c90,15347,7752,1853,2020-07-26,Order,c33,Snapchat,90,33
1000171,c54,4701,10075,17673,2020-09-19,Order,c66,Pinterest,54,66
1000172,c63,12289,9754,17369,2020-02-26,Order,c20,Pinterest,63,20
1000173,c78,9653,13566,18925,2020-04-29,Order,c63,Youtube,78,63
1000174,c97,4766,17350,15512,2020-05-03,Order,c38,Pinterest,97,38
1000175,c75,9011,15334,9758,2020-10-10,Order,c66,Instagram,75,66
1000176,c48,6753,16524,13200,2020-09-13,Order,c49,Facebook,48,49
1000177,c19,2902,10007,2047,2020-02-14,Order,c58,Snapchat,19,58
1000178,c87,18817,19240,10774,2020-10-07,Order,c44,TikTok,87,44
1000179,c77,9735,5769,19060,2020-02-29,Order,c43,Pinterest,77,43
1000180,c100,2245,2445,10023,2020-01-08,Order,c52,TikTok,100,52
1000181,c52,14745,5150,13537,2020-10-30,Order,c13,Instagram,52,13
1000182,c48,10068,5617,2930,2020-04-08,Order,c50,Instagram,48,50
1000183,c28,13933,11450,16934,2020-07-15,Order,c30,Twitter,28,30
1000184,c37,18280,11904,11947,2020-11-25,Order,c13,Instagram,37,13
1000185,c86,5244,7836,16080,2020-06-05,Order,c34,Snapchat,86,34
1000186,c3,10405,6801,14824,2020-06-07,Order,c8,Pinterest,3,8
1000187,c77,4020,19586,18791,2020-01-03,Order,c17,Pinterest,77,17
1000188,c60,8950,1122,14097,2020-09-23,Order,c22,Pinterest,60,22
1000189,c75,16543,6702,19841,2020-10-31,Order,c29,Youtube,75,29
1000190,c18,14032,2925,8615,2020-02-29,Order,c2,Facebook,18,2
1000191,c59,5653,17434,4082,2020-12-04,Order,c2,Instagram,59,2
1000192,c44,8980,13872,17251,2020-10-09,Order,c34,Instagram,44,34
1000193,c1,19618,9926,15409,2020-03-20,Order,c36,Instagram,1,36
1000194,c10,12120,3901,11607,2020-09-13,Order,c43,Pinterest,10,43
1000195,c55,17912,13370,3382,2020-11-11,Order,c27,Twitter,55,27
1000196,c30,3005,2366,14815,2020-11-12,Order,c3,Snapchat,30,3
1000197,c48,12360,3107,19842,2020-11-27,Order,c4,Twitter,48,4
1000198,c85,10586,8172,5876,2020-06-28,Order,c56,Twitter,85,56
1000199,c93,9640,6935,16887,2020-11-20,Order,c24,Facebook,93,24
1000200,c45,2488,5675,7721,2020-07-29,Order,c57,Instagram,45,57
1000201,c6,11371,6046,14714,2020-03-26,Order,c63,Pinterest,6,63
1000202,c3,8121,18596,14296,2020-01-05,Order,c70,TikTok,3,70
1000203,c12,7782,17496,12067,2020-01-19,Order,c46,TikTok,12,46
1000204,c41,16603,15801,3540,2020-10-30,Order,c37,Facebook,41,37
1000205,c16,19151,8209,15868,2020-11-27,Order,c9,Pinterest,16,9
1000206,c92,2376,12230,5024,2020-07-13,Order,c14,Instagram,92,14
1000207,c2,3685,6719,9273,2020-11-06,Order,c1,Twitter,2,1
1000208,c24,7160,19603,14101,2020-02-17,Order,c8,Twitter,24,8
1000209,c27,3966,7862,19830,2020-09-18,Order,c27,Instagram,27,27
1000210,c13,16357,15272,12835,2020-05-25,Order,c70,TikTok,13,70
1000211,c70,6812,11025,3584,2020-08-12,Order,c24,Facebook,70,24
1000212,c88,7863,16390,18780,2020-01-22,Order,c52,Twitter,88,52
1000213,c62,5434,2639,14209,2020-08-19,Order,c4,Twitter,62,4
1000214,c94,3958,15754,11561,2020-11-01,Order,c55,TikTok,94,55
1000215,c23,18341,11448,6902,2020-05-01,Order,c2,Instagram,23,2
1000216,c1,7878,12899,3177,2020-08-01,Order,c5,Pinterest,1,5
1000217,c81,11253,10581,4353,2020-01-02,Order,c49,Facebook,81,49
1000218,c41,10476,7441,19584,2020-09-17,Order,c12,TikTok,41,12
1000219,c21,5988,19184,7579,2020-10-30,Order,c63,Youtube,21,63
1000220,c3,6033,4053,12993,2020-10-31,Order,c49,Pinterest,3,49
1000221,c2,11085,14586,7602,2020-02-10,Order,c3,Twitter,2,3
1000222,c51,5563,13242,5099,2020-09-17,Order,c52,TikTok,51,52
1000223,c8,2690,1454,8745,2020-05-16,Order,c21,Snapchat,8,21
1000224,c43,17062,14036,15597,2020-01-23,Order,c69,Twitter,43,69
1000225,c31,19011,8794,19625,2020-04-06,Order,c35,Twitter,31,35
1000226,c70,10468,18535,10387,2020-10-29,Order,c30,TikTok,70,30
1000227,c21,4978,19348,1744,2020-11-07,Order,c69,Youtube,21,69
1000228,c41,12316,16715,2463,2020-07-15,Order,c51,Facebook,41,51
1000229,c91,7432,15620,11064,2020-07-17,Order,c66,Twitter,91,66
1000230,c75,9539,15974,5560,2020-01-29,Order,c56,TikTok,75,56
1000231,c53,14413,11957,4324,2020-01-08,Order,c19,Snapchat,53,19
1000232,c38,15452,18930,4256,2020-05-18,Order,c4,Pinterest,38,4
1000233,c65,4031,11699,4810,2020-11-22,Order,c35,Instagram,65,35
1000234,c37,11087,16626,13361,2020-12-26,Order,c61,Instagram,37,61
1000235,c13,17502,8099,10371,2020-01-23,Order,c34,Facebook,13,34
1000236,c4,11591,5652,1535,2020-06-03,Order,c32,Pinterest,4,32
1000237,c53,7583,1141,4800,2020-05-02,Order,c50,Instagram,53,50
1000238,c86,2281,7278,15396,2020-01-20,Order,c36,Twitter,86,36
1000239,c10,6554,7515,4029,2020-08-17,Order,c14,TikTok,10,14
1000240,c29,5475,6811,7215,2020-01-23,Order,c50,Facebook,29,50
1000241,c7,9386,8533,6091,2020-11-23,Order,c41,Facebook,7,41
1000242,c45,18571,10715,4885,2020-07-02,Order,c34,Instagram,45,34
1000243,c51,18175,17209,6656,2020-02-28,Order,c52,Twitter,51,52
1000244,c98,19465,16551,9130,2020-02-07,Order,c38,Facebook,98,38
1000245,c3,5371,5548,7555,2020-03-29,Order,c53,Youtube,3,53
1000246,c2,11422,2114,13442,2020-11-02,Order,c5,TikTok,2,5
1000247,c78,6841,19593,4889,2020-10-22,Order,c21,Snapchat,78,21
1000248,c6,5022,18746,16948,2020-07-20,Order,c57,Twitter,6,57
1000249,c74,18349,10893,8017,2020-04-06,Order,c49,Youtube,74,49
1000250,c99,8128,9866,9810,2020-12-09,Order,c58,Twitter,99,58
1000251,c5,3024,15638,12676,2020-01-02,Order,c48,Youtube,5,48
1000252,c23,1417,18216,6562,2020-09-18,Order,c3,Pinterest,23,3
1000253,c42,11955,11084,8831,2020-11-21,Order,c58,Snapchat,42,58
1000254,c4,14321,1737,15309,2020-05-28,Order,c33,Twitter,4,33
1000255,c97,12197,3322,11611,2020-05-07,Order,c43,Twitter,97,43
1000256,c1,12219,11250,12356,2020-04-04,Order,c57,TikTok,1,57
1000257,c1,3879,5805,17846,2020-06-07,Order,c44,Instagram,1,44
1000258,c68,1953,5099,17236,2020-10-28,Order,c16,Snapchat,68,16
1000259,c7,5592,9208,13413,2020-05-20,Order,c22,Facebook,7,22
1000260,c73,5781,1203,13216,2020-09-09,Order,c3,TikTok,73,3
1000261,c82,5879,15629,9126,2020-06-15,Order,c54,Pinterest,82,54
1000262,c88,15256,12110,14536,2020-02-12,Order,c58,Instagram,88,58
1000263,c86,1276,14907,13524,2020-11-04,Order,c8,Youtube,86,8
1000264,c69,5613,12036,1452,2020-06-06,Order,c67,Instagram,69,67
1000265,c39,3235,19229,7855,2020-05-04,Order,c21,Pinterest,39,21
1000266,c62,11329,16835,12213,2020-08-30,Order,c2,Pinterest,62,2
1000267,c62,1047,14621,5711,2020-09-03,Order,c19,Facebook,62,19
1000268,c54,11927,4036,11109,2020-02-27,Order,c45,Pinterest,54,45
1000269,c46,1899,14707,9878,2020-01-20,Order,c2,Twitter,46,2
1000270,c98,14261,3355,4324,2020-01-22,Order,c17,Facebook,98,17
1000271,c23,9175,18361,8606,2020-02-02,Order,c65,Facebook,23,65
1000272,c79,16337,2727,15940,2020-09-17,Order,c22,Instagram,79,22
1000273,c91,5374,12152,12456,2020-10-26,Order,c12,Snapchat,91,12
1000274,c73,8822,11390,8096,2020-02-08,Order,c11,Youtube,73,11
1000275,c78,16633,3106,19454,2020-03-19,Order,c8,TikTok,78,8
1000276,c26,17531,14015,8832,2020-04-03,Order,c31,Pinterest,26,31
1000277,c76,18083,3131,4815,2020-11-04,Order,c62,Snapchat,76,62
1000278,c20,8303,5738,19854,2020-05-01,Order,c1,Facebook,20,1
1000279,c49,3219,6324,6979,2020-07-19,Order,c24,Snapchat,49,24
1000280,c36,1501,3243,8383,2020-10-25,Order,c59,Snapchat,36,59
1000281,c65,17074,16594,16455,2020-03-19,Order,c20,Facebook,65,20
1000282,c56,6611,15916,3855,2020-05-18,Order,c27,Facebook,56,27
1000283,c76,9688,2012,12466,2020-12-26,Order,c3,TikTok,76,3
1000284,c48,14908,14367,12102,2020-01-20,Order,c38,Snapchat,48,38
1000285,c17,15677,14470,3211,2020-05-22,Order,c47,TikTok,17,47
1000286,c9,6911,12254,8186,2020-11-13,Order,c8,Instagram,9,8
1000287,c23,8623,12456,10707,2020-09-10,Order,c8,Facebook,23,8
1000288,c96,2755,16412,18362,2020-07-02,Order,c33,Twitter,96,33
1000289,c1,2738,3629,19906,2020-12-19,Order,c61,Pinterest,1,61
1000290,c98,15384,8456,10589,2020-11-14,Order,c58,TikTok,98,58
1000291,c23,11314,1857,2464,2020-03-22,Order,c31,Snapchat,23,31
1000292,c28,12627,16738,16844,2020-09-07,Order,c29,Pinterest,28,29
1000293,c2,6566,8599,6503,2020-09-05,Order,c32,Youtube,2,32
1000294,c60,9307,2279,13321,2020-02-29,Order,c18,Instagram,60,18
1000295,c61,8429,17579,18006,2020-01-31,Order,c25,Youtube,61,25
1000296,c22,16837,18646,2486,2020-05-14,Order,c42,Facebook,22,42
1000297,c80,19353,5374,13681,2020-11-04,Order,c44,Pinterest,80,44
1000298,c3,5223,16186,6106,2020-02-03,Order,c57,Pinterest,3,57
1000299,c82,3831,17825,7771,2020-08-27,Order,c55,Snapchat,82,55
1000300,c35,16968,9667,9253,2020-05-02,Order,c12,Youtube,35,12
1000301,c81,14264,7425,8180,2020-10-09,Order,c1,Youtube,81,1
1000302,c4,14480,11621,8143,2020-08-14,Order,c4,Snapchat,4,4
1000303,c99,11421,4071,15648,2020-09-24,Order,c10,Snapchat,99,10
1000304,c45,1940,11757,7187,2020-04-18,Order,c57,Twitter,45,57
1000305,c86,5099,7919,5840,2020-05-16,Order,c64,Pinterest,86,64
1000306,c23,4897,9137,6385,2020-10-05,Order,c16,Twitter,23,16
1000307,c45,12653,13607,6230,2020-10-03,Order,c60,Facebook,45,60
1000308,c87,6197,13004,7547,2020-09-06,Order,c2,Pinterest,87,2
1000309,c52,7680,13147,14855,2020-07-30,Order,c26,Twitter,52,26
1000310,c16,18044,19489,18957,2020-06-04,Order,c11,TikTok,16,11
1000311,c1,4885,7064,14309,2020-10-17,Order,c54,Facebook,1,54
1000312,c83,7351,18665,1477,2020-05-10,Order,c31,TikTok,83,31
1000313,c68,18728,16786,8081,2020-05-25,Order,c33,Twitter,68,33
1000314,c34,15663,15557,4892,2020-11-12,Order,c19,Pinterest,34,19
1000315,c36,13318,4502,14742,2020-09-09,Order,c22,Twitter,36,22
1000316,c2,3038,9162,6938,2020-12-24,Order,c49,Instagram,2,49
1000317,c48,16906,17134,4133,2020-03-15,Order,c50,Facebook,48,50
1000318,c65,8311,17112,19382,2020-01-23,Order,c28,Twitter,65,28
1000319,c51,18088,13719,8261,2020-03-08,Order,c4,Twitter,51,4
1000320,c95,4736,2864,8169,2020-01-20,Order,c43,TikTok,95,43
1000321,c50,13971,9336,8071,2020-01-05,Order,c38,TikTok,50,38
1000322,c74,3876,13989,18072,2020-07-13,Order,c51,Twitter,74,51
1000323,c32,11780,1223,9840,2020-06-29,Order,c36,Instagram,32,36
1000324,c97,6636,6426,17873,2020-02-28,Order,c47,Snapchat,97,47
1000325,c16,15441,16038,7057,2020-07-08,Order,c64,TikTok,16,64
1000326,c22,18522,6921,11469,2020-08-02,Order,c35,Instagram,22,35
1000327,c93,4843,1727,10397,2020-08-10,Order,c38,Twitter,93,38
1000328,c99,15720,9592,4745,2020-06-28,Order,c38,Youtube,99,38
1000329,c100,7974,11911,11382,2020-06-25,Order,c20,Facebook,100,20
1000330,c62,19858,19299,9044,2020-12-06,Order,c60,Pinterest,62,60
1000331,c70,5929,4227,3097,2020-07-29,Order,c12,Instagram,70,12
1000332,c41,11717,17954,19002,2020-02-05,Order,c68,Snapchat,41,68
1000333,c46,4336,18545,18658,2020-03-25,Order,c15,TikTok,46,15
1000334,c12,1244,3176,6565,2020-05-23,Order,c16,Facebook,12,16
1000335,c87,17802,7014,1710,2020-08-17,Order,c9,Snapchat,87,9
1000336,c87,19984,5295,14645,2020-02-05,Order,c59,Pinterest,87,59
1000337,c40,6127,7508,7037,2020-08-16,Order,c16,Twitter,40,16
1000338,c11,16975,10427,10071,2020-03-23,Order,c21,Facebook,11,21
1000339,c23,18276,4946,18363,2020-03-29,Order,c26,TikTok,23,26
1000340,c31,7494,4644,10672,2020-10-14,Order,c3,Twitter,31,3
1000341,c36,6800,11395,12862,2020-04-20,Order,c11,Snapchat,36,11
1000342,c27,6709,11672,15421,2020-08-06,Order,c63,Pinterest,27,63
1000343,c9,14252,7836,6780,2020-01-11,Order,c10,Pinterest,9,10
1000344,c24,6167,14183,10266,2020-05-17,Order,c67,Instagram,24,67
1000345,c40,19101,13703,15659,2020-02-12,Order,c37,Youtube,40,37
1000346,c57,11223,12914,14456,2020-06-08,Order,c9,Pinterest,57,9
1000347,c36,12866,11290,16746,2020-02-29,Order,c23,Snapchat,36,23
1000348,c76,6517,6764,14817,2020-08-29,Order,c21,TikTok,76,21
1000349,c58,5670,9695,19227,2020-06-13,Order,c28,Youtube,58,28
1000350,c94,1581,3317,4554,2020-01-19,Order,c50,Twitter,94,50
1000351,c76,1845,8986,4036,2020-07-23,Order,c2,Facebook,76,2
1000352,c53,17141,8358,9326,2020-12-21,Order,c47,Snapchat,53,47
1000353,c98,18450,15874,10569,2020-11-16,Order,c5,Pinterest,98,5
1000354,c11,12481,3282,17249,2020-08-10,Order,c46,Facebook,11,46
1000355,c62,7542,13089,6034,2020-06-11,Order,c66,Twitter,62,66
1000356,c92,4308,16007,2556,2020-04-22,Order,c37,TikTok,92,37
1000357,c37,1024,14039,2698,2020-12-24,Order,c40,Snapchat,37,40
1000358,c61,10668,6705,8932,2020-12-21,Order,c1,Facebook,61,1
1000359,c58,14396,10063,16300,2020-12-03,Order,c16,Facebook,58,16
1000360,c90,17289,16537,11663,2020-07-09,Order,c44,Youtube,90,44
1000361,c71,6205,9259,19347,2020-12-17,Order,c44,Pinterest,71,44
1000362,c22,12978,13654,18129,2020-03-07,Order,c55,Facebook,22,55
1000363,c9,8998,14457,8009,2020-06-15,Order,c12,Facebook,9,12
