id,name,price,wprice
1100,Painted Gnoll Armband,463,347.25
1101,Light Hide,36.89,27.6675
1102,Mageroyal,32.67,24.5025
1103,Slitherskin Mackerel,18.78,14.085
1104,Stout Battlehammer,63.4,47.55
1105,Forester's Axe,65,48.75
1106,Gnarled Ash Staff,47.8,35.85
1107,Knitted Sandals,96.5,72.375
1108,Knitted Gloves,29.7,22.275
1109,Knitted Pants,11,8.25
1110,Knitted Tunic,1.86,1.395
1111,Rough Leather Boots,62,46.5
1112,Rough Leather Gloves,70,52.5
1113,Rough Leather Pants,50.22,37.665
1114,Rough Leather Vest,11.17,8.3775
1115,Large Blue Sack,34.4,25.8
1116,Small Red Pouch,51.17,38.3775
1117,Bloodrazor,9.38,7.035
1118,Hammer of the Northern Wind,78.67,59.0025
1119,Axe of the Deep Woods,381,285.75
1120,Glowing Brightwood Staff,137,102.75
1121,Flask of Oil,107,80.25
1122,Small Hand Blade,80,60
1123,Tigerseye,108.5,81.375
1124,Slicer Blade,60.25,45.1875
1125,Riverpaw Leather Vest,155.33,116.4975
1126,Brutish Riverpaw Axe,389,291.75
1127,Wicked Blackjack,18.67,14.0025
1128,Small Blue Pouch,27,20.25
1129,Red Leather Bandana,98,73.5
1130,Silver Defias Belt,64.67,48.5025
1131,Lifestone,25.57,19.1775
1132,Large Rope Net,25.33,18.9975
1133,Heavy Weave Armor,6.75,5.0625
1134,Heavy Weave Pants,4.2,3.15
1135,Heavy Weave Gloves,53,39.75
1136,Heavy Weave Shoes,255,191.25
1137,Furlbrow's Pocket Watch,44.11,33.0825
1138,Tanned Leather Boots,85.67,64.2525
1139,Tanned Leather Gloves,95,71.25
1140,Tanned Leather Pants,96.33,72.2475
1141,Tanned Leather Jerkin,229,171.75
1142,Chainmail Armor,77.25,57.9375
1143,Chainmail Pants,2.4,1.8
1144,Chainmail Boots,338,253.5
1145,Chainmail Gloves,46,34.5
1146,Cutlass,239,179.25
1147,Mace,9.83,7.3725
1148,Hatchet,4.5,3.375
1149,Quarter Staff,14.5,10.875
1150,Blue Leather Bag,69,51.75
1151,Large Red Sack,331,248.25
1152,Lesser Healing Potion,95.6,71.7
1153,Fine Cloth Shirt,39.67,29.7525
1154,Cavalier's Boots,10,7.5
1155,Runed Ring,451,338.25
1156,Gloom Reaper,25.86,19.395
1157,Knightly Longsword,65.33,48.9975
1158,Leaden Mace,174.5,130.875
1159,Monk's Staff,18.5,13.875
1160,Gloves of Holy Might,41,30.75
1161,Ardent Custodian,55.44,41.58
1162,Dazzling Longsword,47,35.25
1163,Fiery War Axe,193,144.75
1164,Flurry Axe,122.33,91.7475
1165,Rockslicer,216,162
1166,Staff of Jordan,53.17,39.8775
1167,Worn Wooden Buckler,121,90.75
1168,Staff of Horrors,3.29,2.4675
1169,Ghoul Rib,189.5,142.125
1170,Black Metal Axe,108,81
1171,Black Metal Shortsword,22.5,16.875
1172,Naga Battle Gloves,4.5,3.375
1173,A Dusty Unsent Letter,12.67,9.5025
1174,Twisted Chanter's Staff,38.67,29.0025
1175,Gnoll Casting Gloves,25.17,18.8775
1176,Worgen Skull,61.43,46.0725
1177,Worgen Fang,209,156.75
1178,Madwolf Bracers,43.5,32.625
1179,Venom Web Fang,9.86,7.395
1180,Deprecated Nightmare Summoning (Mount),16.78,12.585
1181,An Undelivered Letter,45.33,33.9975
1182,Ironwood Treebranch,24.25,18.1875
1183,Huge Ogre Sword,19.44,14.58
1184,Large Ogre Chain Armor,37.5,28.125
1185,Red Silk Bandana,16.6,12.45
1186,A Torn Journal Page,75,56.25
1187,Deviate Hide Pack,7.3,5.475
1188,Wicked Spiked Mace,37.43,28.0725
1189,A Faded Journal Page,27,20.25
1190,Dacian Falx,53,39.75
1191,Longsword,27.63,20.7225
1192,Maul,450,337.5
1193,Flail,9.71,7.2825
1194,Battle Axe,22.17,16.6275
1195,Double Axe,9.25,6.9375
1196,Long Staff,51.4,38.55
1197,Healing Potion,41.3,30.975
1198,Deprecated Heavy Brown Sack,83.5,62.625
1199,Fel Steed Saddlebags,41.5,31.125
1200,Large Rucksack,18.22,13.665
1201,Stalvan's Reaper,44.83,33.6225
1202,Night Watch Shortsword,55,41.25
1203,Midnight Mace,142.33,106.7475
1204,Black Duskwood Staff,82.6,61.95
1205,Muddy Journal Pages,21.78,16.335
1206,A Bloodstained Journal Page,62,46.5
1207,Robes of Insight,30.57,22.9275
1208,Freezing Band,120.5,90.375
1209,Warden Staff,120,90
1210,Elemental Mage Staff,10,7.5
1211,Scroll of Strength,63.83,47.8725
1212,Scroll of Intellect,76.6,57.45
1213,Deprecated Area Trigger Flag - Jasperlode mine,23.5,17.625
1214,William's Shipment,64.67,48.5025
1215,Deprecated Area Trigger Flag - Darkhollow Mine,44.43,33.3225
1216,Deprecated Area Trigger Flag - Fargodeep,12.5,9.375
1217,Healing Herb,22.4,16.8
1218,Pork Belly Pie,214,160.5
1219,Bernice's Necklace,345,258.75
1220,Red Linen Sash,3.75,2.8125
1221,Ring of Righteous Flame (TEST),61,45.75
1222,Brass Collar,38,28.5
1223,Well-Used Sword,6.6,4.95
1224,Compact Hammer,39.9,29.925
1225,Gnarled Short Staff,136.33,102.2475
1226,Sharp Axe,157.67,118.2525
1227,Iron Rivet,36.3,27.225
1228,Large Moneybag (old),4.7,3.525
1229,Lean Wolf Flank,26.5,19.875
1230,Seasoned Wolf Kabob,34.88,26.16
1231,Linen Scrap,19.5,14.625
1232,Leather Helmet D (Test),24.9,18.675
1233,Leather Helmet A (test),0.75,0.5625
1234,Plate Helmet D2 (test),147,110.25
1235,Plate Helmet D1 (Test),34.5,25.875
1236,Mail Helmet A (Test),6.57,4.9275
1237,Shadowhide Pendant,114.25,85.6875
1238,Defias Renegade Ring,49.38,37.035
1239,Defias Mage Ring,64,48
1240,Tough Condor Meat,92,69
1241,Redridge Goulash,16.86,12.645
1242,Glyph of Azora,11,8.25
1243,Conjured Bread,25.6,19.2
1244,Conjured Rye,10.44,7.83
1245,Ring of Pure Silver,52.89,39.6675
1246,Feet of the Lynx,26.75,20.0625
1247,Flash Bundle,89.67,67.2525
1248,Ghoul Fang,31.89,23.9175
1249,Vial of Spider Venom,56.43,42.3225
1250,Totem of Infliction,21.75,16.3125
1251,Horn of the Timber Wolf,39.44,29.58
1252,Belt of the People's Militia,32,24
1253,Rod of the Sleepwalker,47,35.25
1254,Lavishly Jeweled Ring,77.2,57.9
1255,Solid Metal Club,250,187.5
1256,Militia Quarterstaff,8.86,6.645
1257,Militia Shortsword,48.86,36.645
1258,Pirates Patch (Test),12.2,9.15
1259,Dented Buckler,45,33.75
1260,Small Targe,86.5,64.875
1261,Skullflame Shield,22.7,17.025
1262,Blackskull Shield,49.8,37.35
1263,Well-Stitched Robe,97.4,73.05
1264,Grayson's Torch,54.67,41.0025
1265,Weather-Worn Boots,11.63,8.7225
1266,Oil of Olaf,86,64.5
1267,Explosive Rocket,14,10.5
1268,Ice Cold Milk,49.3,36.975
1269,Scroll of Stamina,98.2,73.65
1270,Scroll of Spirit,18.5,13.875
1271,Brass-Studded Bracers,22.5,16.875
1272,Elastic Wristguards,64,48
1273,Spiked Collar,2.83,2.1225
1274,Overseer's Ring,89,66.75
1275,Overseer's Cloak,417,312.75
1276,Bag of Marbles,94.5,70.875
1277,Banded Buckler,3.29,2.4675
1278,Bastard Sword,14.4,10.8
1279,Kobold Mining Shovel,5.1,3.825
1280,Tabar,124,93
1281,Giant Mace,162.33,121.7475
1282,Claymore,42.13,31.5975
1283,Large Wooden Shield,45.8,34.35
1284,Dull Heater Shield,6,4.5
1285,Wall Shield,10.5,7.875
1286,Aegis of Stormwind,20,15
1287,The Green Tower,120,90
1288,Melon Juice,51.5,38.625
1289,Moss Agate,25.56,19.17
1290,Murphstar,489,366.75
1291,Maybell's Love Letter,35,26.25
1292,Shadowgem,39.25,29.4375
1293,Gnoll War Harness,44.83,33.6225
1294,Gnoll Kindred Bracers,125.5,94.125
1295,Gnoll Punisher,17.83,13.3725
1296,Support Girdle,69.6,52.2
1297,Unknown Reward,94.33,70.7475
1298,Heavy Gnoll War Club,96,72
1299,Redridge Machete,21.63,16.2225
1300,Lupine Axe,39.22,29.415
1301,Underbelly Whelp Scale,12,9
1302,Linen Bandage,0.6,0.45
1303,Gramma Stonefield's Note,17,12.75
1304,Crystal Kelp Frond,45.17,33.8775
1305,Invisibility Liquor,243,182.25
1306,Tharilzun's Head,26.89,20.1675
1307,Midnight Orb,7.7,5.775
1308,Keg of Thunderbrew Lager,56.5,42.375
1309,Brain Hacker,49,36.75
1310,Headbasher,76,57
1311,Scorpion Sting,118,88.5
1312,Finely Woven Cloak,49.5,37.125
1313,Forest Chain,117.33,87.9975
1314,Deputy Chain Coat,244,183
1315,Fire Hardened Buckler,29.38,22.035
1316,Cloaked Hood,47.43,35.5725
1317,Sparkmetal Coif,64,48
1318,Verner's Note,53.56,40.17
1319,Crate of Horseshoes,15.13,11.3475
1320,Giant Tarantula Fang,124,93
1321,Large Venom Sac,18.7,14.025
1322,Butcher's Cleaver,13.1,9.825
1323,The State of Lakeshire,67,50.25
1324,The General's Response,62.13,46.5975
1325,Blackrock Mace,77.6,58.2
1326,Robes of the Shadowcaster,25.4,19.05
1327,Lesser Belt of the Spire,82.33,61.7475
1328,Lesser Staff of the Spire,30.67,23.0025
1329,Black Whelp Gloves,18.88,14.16
1330,Bridgeworker's Gloves,163,122.25
1331,Riding Gloves,234,175.5
1332,Wolfmane Wristguards,16.78,12.585
1333,Gold Pickup Schedule,369,276.75
1334,Oslow's Toolbox,230.5,172.875
1335,Smith's Trousers,0.1,0.075
1336,Ghoul Fingers,19.17,14.3775
1337,Lei of Lilies,53.44,40.08
1338,Hardened Root Staff,49.71,37.2825
1339,Night Reaver,36.57,27.4275
1340,Ring of Iron Will,6,4.5
1341,Fishliver Oil,123,92.25
1342,Daffodil Bouquet,40.56,30.42
1343,Sauteed Sunfish,124,93
1344,Wiley's Note,63.25,47.4375
1345,Abercrombie's Crate,55.44,41.58
1346,Fingerbone Bracers,38.63,28.9725
1347,Cracked Skull Mortar,450,337.5
1348,Shaw's Report,10,7.5
1349,Buckskin Cape,37.86,28.395
1350,Commendation - Elwynn Forest,34.63,25.9725
1351,Captain Sanders' Treasure Map,29.5,22.125
1352,A Clue to Sanders' Treasure,50.38,37.785
1353,Lion-Stamped Gloves,22.71,17.0325
1354,Stormwind Chain Gloves,48.78,36.585
1355,Another Clue to Sanders' Treasure,55,41.25
1356,Final Clue to Sanders' Treasure,34.5,25.875
1357,A Mysterious Message,31.13,23.3475
1358,Rock Mace,14,10.5
1359,Stone Tomahawk,92.4,69.3
1360,Dull Blade,10.78,8.085
1361,Thistlewood Axe,13.33,9.9975
1362,Ghoulfang,22,16.5
1363,Crooked Staff,50.67,38.0025
1364,Kobold Mining Mallet,66.67,50.0025
1365,Riverpaw Mystic Staff,8.14,6.105
1366,Driftwood Club,208,156
1367,Apprentice's Pants,72.33,54.2475
1368,Acolyte's Pants,65,48.75
1369,Magic Candle,84.67,63.5025
1370,Riverpaw Tea Leaf,28.22,21.165
1371,Tidal Charm,24.6,18.45
1372,Foamspittle Staff,48.33,36.2475
1373,Pearl-Encrusted Spear,16,12
1374,Solomon's Plea to Westfall,149,111.75
1375,Stoutmantle's Response to Solomon,161.33,120.9975
1376,Solomon's Plea to Darkshire,127,95.25
1377,Ebonlocke's Response to Solomon,17,12.75
1378,Glowing Wax Stick,7,5.25
1379,Frontier Britches,105.75,79.3125
1380,Warrior's Shield,18.88,14.16
1381,Gnoll Skull Basher,60.6,45.45
1382,Jeweled Amulet of Cainwyn,33.57,25.1775
1383,Blackrock Pauldrons,137.33,102.9975
1384,Blackrock Boots,116,87
1385,Ring of Saviors,120.33,90.2475
1386,Blackrock Gauntlets,8.5,6.375
1387,Minor Channeling Ring,3.75,2.8125
1388,Potion of Fervor,41.67,31.2525
1389,Bottle of Zombie Juice,21.14,15.855
1390,Spectral Comb,236,177
1391,Axe of the Enforcer,4.5,3.375
1392,Blackrock Champion's Axe,38.5,28.875
1393,Shadowhide Mace,96.2,72.15
1394,Shadowhide Maul,245,183.75
1395,Shadowhide Scalper,34.13,25.5975
1396,Shadowhide Two-Handed Sword,11.63,8.7225
1397,Slayer's Battle Axe,93.75,70.3125
1398,Ring of the Shadow,31.5,23.625
1399,Tigerbane,4.67,3.5025
1400,Spotted Sunfish,47,35.25
1401,Murloc Fin,31.5,23.625
1402,Scimitar of Atun,42.2,31.65
1403,Murloc Skin Bag,35.5,26.625
1404,Riverside Staff,249,186.75
1405,Small Venom Sac,28,21
1406,Scroll of Agility II,48,36
1407,Scroll of Protection II,221.5,166.125
1408,Salma's Oven Mitts,71.33,53.4975
1409,Fist of the People's Militia,9,6.75
1410,Grimclaw,107.5,80.625
1411,Shadowfang,294,220.5
1412,Face Smasher,164.33,123.2475
1413,Witching Stave,33.67,25.2525
1414,Tree Bark Jacket,62.83,47.1225
1415,Conjured Pumpernickel,481,360.75
1416,Avenger's Armor,7,5.25
1417,Gloomshroud Armor,93.8,70.35
1418,Guardian Talisman,37.44,28.08
1419,Ring of Precision,52.33,39.2475
1420,Heavy Marauder Scimitar,41.57,31.1775
1421,Ghost Hair Comb,111.67,83.7525
1422,Bloodscalp Ear,404,303
1423,Lumbering Ogre Axe,24.7,18.525
1424,Headhunting Spear,166.67,125.0025
1425,Huge Stone Club,109.5,82.125
1426,Skullsplitter Tusk,84.5,63.375
1427,Handful of Oats,5,3.75
1428,Jade,22.83,17.1225
1429,Shrunken Head,107.5,80.625
1430,Old Blanchy's Feed Pouch,8.71,6.5325
1431,Gnarled Hermit's Staff,5.71,4.2825
1432,Shield of the Faith,35.5,26.625
1433,Buckler of the Seas,30.5,22.875
1434,Bluegill Sandals,36.4,27.3
1435,Harvester's Robe,34.3,25.725
1436,Edge of the People's Militia,1.3,0.975
1437,Ghost Hair Thread,10.56,7.92
1438,Rot Blossom,25.6,19.2
1439,Sickle Axe,127,95.25
1440,Chromatic Sword,14.7,11.025
1441,Soulkeeper,101.25,75.9375
1442,Skullcrusher Mace,63,47.25
1443,Spiritchaser Staff,22.11,16.5825
1444,Skullsplitter Helm,43.6,32.7
1445,Exquisite Flamberge,13.13,9.8475
1446,Letter to Ello,5,3.75
1447,Grinning Axe,2,1.5
1448,Monstrous War Axe,59,44.25
1449,Moonberry Juice,41,30.75
1450,Sturdy Lunchbox,456,342
1451,Translated Letter,39,29.25
1452,Engineering Gloves,24.6,18.45
1453,Spellforce Rod,16.38,12.285
1454,Deprecated Ogre Head,75.5,56.625
1455,Drake-Scale Vest,38.44,28.83
1456,Black Ogre Kickers,65.67,49.2525
1457,Korg Bat,23.89,17.9175
1458,Headchopper,17.8,13.35
1459,Troll-Hide Bag,17,12.75
1460,Crystal Basilisk Spine,34.63,25.9725
1461,Lesser Moonstone,69.83,52.3725
1462,Stormwind Brie,16.14,12.105
1463,Sweet Nectar,44.2,33.15
1464,Greater Healing Potion,81,60.75
1465,Scroll of Stamina II,38.8,29.1
1466,Scroll of Spirit II,44.13,33.0975
1467,Ankh of Life,112,84
1468,Necklace of Calisea,80.8,60.6
1469,Polished Jazeraint Armor,48.8,36.6
1470,Robe of the Magi,42.33,31.7475
1471,Double Link Tunic,34.71,26.0325
1472,Basilisk Hide Pants,154.33,115.7475
1473,Tanglewood Staff,24,18
1474,Viking Warhammer,82.33,61.7475
1475,Thornstone Sledgehammer,69.25,51.9375
1476,Large Knapsack,64.17,48.1275
1477,Poison-Tipped Bone Spear,15,11.25
1478,Sword of Decay,22.43,16.8225
1479,Teebu's Blazing Longsword,47.33,35.4975
1480,Gunnysack of the Night Watch,288,216
1481,Lucky Trousers,10.25,7.6875
1482,Dirty Leather Belt,6,4.5
1483,Dirty Leather Bracers,13.43,10.0725
1484,Rough Leather Belt,102,76.5
1485,Rough Leather Bracers,126,94.5
1486,Tanned Leather Belt,65.5,49.125
1487,Tanned Leather Bracers,37.3,27.975
1488,Chainmail Belt,157.33,117.9975
1489,Chainmail Bracers,44,33
1490,Cured Leather Belt,34,25.5
1491,Cured Leather Bracers,19.2,14.4
1492,Scalemail Bracers,16.14,12.105
1493,Scalemail Belt,22.38,16.785
1494,Thistlenettle's Badge,124,93
1495,Miner's Revenge,109.67,82.2525
1496,Miners' Union Card,33.67,25.2525
1497,Studded Blackjack,110.5,82.875
1498,Jeweled Dagger,49.88,37.41
1499,Supplies for Sven,21,15.75
1500,Ambassador's Satchel,25.33,18.9975
1501,Defias Rapier,21.4,16.05
1502,Weighted Sap,26.9,20.175
1503,Deadmines Cleaver,235,176.25
1504,Defias Mage Staff,53.4,40.05
1505,Silk-Threaded Trousers,173,129.75
1506,Stonemason Cloak,45.78,34.335
1507,Huge Gnoll Claw,27.17,20.3775
1508,Staff of Conjuring,14.67,11.0025
1509,Hogger's Trousers,38.6,28.95
1510,Assassin's Blade,499,374.25
1511,Goblin Screwdriver,115.25,86.4375
1512,Buzz Saw,30.75,23.0625
1513,Block Mallet,70.57,52.9275
1514,Skin of Sweet Rum,488,366
1515,Cask of Merlot,11.83,8.8725
1516,Bottle of Moonshine,122.75,92.0625
1517,Goblin Mail Leggings,143.5,107.625
1518,Metalworking Gloves,1.22,0.915
1519,Woodworking Gloves,333,249.75
1520,Mary's Looking Glass,39.2,29.4
1521,Blackwater Cutlass,0.78,0.585
1522,Dragonmaw Chain Boots,10.5,7.875
1523,Faded Shadowhide Pendant,9.44,7.08
1524,Petrified Shinbone,196.5,147.375
1525,Cold Iron Pick,33.3,24.975
1526,Glowing Shadowhide Pendant,78.8,59.1
1527,White Wolf Gloves,106,79.5
1528,Ogre's Monocle,64.67,48.5025
1529,Restoring Balm,132.5,99.375
1530,Furlbrow's Deed,132.5,99.375
1531,Westfall Deed,30.13,22.5975
1532,Orb of Deception,54.89,41.1675
1533,Mindthrust Bracers,69.33,51.9975
1534,Pysan's Old Greatsword,14.1,10.575
1535,Slaghammer,55.8,41.85
1536,Wolfclaw Gloves,4.29,3.2175
1537,Wall of the Dead,468,351
1538,Underworld Band,57.5,43.125
1539,Icemail Jerkin,3.67,2.7525
1540,Nightblade,11.63,8.7225
1541,Gutrender,209.5,157.125
1542,Krazek's Fixed Pot,228,171
1543,Chief Brigadier Gauntlets,50.67,38.0025
1544,Ballast Maul,39.6,29.7
1545,Goblin Power Shovel,59,44.25
1546,Swampchill Fetish,208,156
1547,Ogremind Ring,42,31.5
1548,Ebonclaw Reaver,186,139.5
1549,Voodoo Band,139.5,104.625
1550,Pressed Felt Robe,138,103.5
1551,Bloodscalp Channeling Staff,4.75,3.5625
1552,Archeus,414,310.5
1553,Grelin Whitebeard's Journal,62,46.5
1554,The First Troll Legend,80,60
1555,The Second Troll Legend,224,168
1556,The Third Troll Legend,37.22,27.915
1557,The Fourth Troll Legend,17.89,13.4175
1558,Twisted Sabre,85,63.75
1559,Cryptbone Staff,32.78,24.585
1560,Black Metal Greatsword,7,5.25
1561,Black Metal War Axe,16,12
1562,Dusty Chain Armor,175,131.25
1563,Glowing Leather Bracers,41.75,31.3125
1564,Skeletal Longsword,52.83,39.6225
1565,Hollowfang Blade,35.71,26.7825
1566,Green Carapace Shield,79.83,59.8725
1567,Espadon,64.17,48.1275
1568,Bearded Axe,56,42
1569,Rock Hammer,75.25,56.4375
1570,Scimitar,41.44,31.08
1571,Hammer,59,44.25
1572,Cleaver,24.67,18.5025
1573,Gnarled Staff,426,319.5
1574,Gallan Cuffs,65.5,49.125
1575,Ambassador's Boots,19,14.25
1576,Scholarly Robes,21.22,15.915
1577,Sword of the Night Sky,34.5,25.875
1578,Dusty Mining Gloves,57.4,43.05
1579,Tunneler's Boots,133,99.75
1580,Plains Ring,60,45
1581,Troll Protector,5.4,4.05
1582,Tunic of Westfall,282,211.5
1583,Staff of Westfall,151.5,113.625
1584,Ring of Forlorn Spirits,12.8,9.6
1585,Crescent of Forlorn Spirits,38,28.5
1586,Bluegill Kukri,1.75,1.3125
1587,Anvilmar Hand Axe,5.11,3.8325
1588,Anvilmar Hammer,9.25,6.9375
1589,Trogg Hand Axe,3.88,2.91
1590,Small Wooden Hammer,67.33,50.4975
1591,Pitted Defias Shortsword,103.75,77.8125
1592,Kazon's Maul,23,17.25
1593,Sentry Cloak,114.5,85.875
1594,Trogg Club,24.3,18.225
1595,Rockjaw Blade,53.17,39.8775
1596,Skull Hatchet,45.88,34.41
1597,Frostbit Staff,35.44,26.58
1598,Black Bear Hide Vest,21,15.75
1599,Darnassian Bleu,34.67,26.0025
1600,Dwarven Magestaff,60.13,45.0975
1601,Dwarven Hatchet,8.88,6.66
1602,Solid Shortblade,31.56,23.67
1603,Heavy Mace,347,260.25
1604,Magician Staff,15.3,11.475
1605,Northern Shortsword,214,160.5
1606,Sergeant's Warhammer,89.6,67.2
1607,Hillborne Axe,257,192.75
1608,Wizbang's Gunnysack,494,370.5
1609,Darksteel Bastard Sword,28.83,21.6225
1610,Hard Crawler Carapace,36.8,27.6
1611,Long Crawler Limb,38.44,28.83
1612,Scrimshaw Dagger,227,170.25
1613,Magic Dust,10.33,7.7475
1614,Worn Dagger,48.8,36.6
1615,Double-Barreled Shotgun,34.4,25.8
1616,Dwarven Hand Cannon,29.5,22.125
1617,Precisely Calibrated Boomstick,103.33,77.4975
1618,Light Quiver,229,171.75
1619,Small Ammo Pouch,76.67,57.5025
1620,Thug Shirt,2.75,2.0625
1621,Frostmane Leather Vest,89,66.75
1622,Frostmane Chain Vest,173,129.75
1623,Light Magesmith Robe,4,3
1624,Lumberjack Jerkin,70.5,52.875
1625,Calor's Note,14.3,10.725
1626,Snowy Robe,59.38,44.535
1627,Thin Cloth Shoes,49.1,36.825
1628,Thin Cloth Gloves,46.43,34.8225
1629,Thin Cloth Pants,43.3,32.475
1630,Thin Cloth Armor,51.88,38.91
1631,Cracked Leather Belt,173,129.75
1632,Cracked Leather Boots,21.33,15.9975
1633,Cracked Leather Bracers,28.57,21.4275
1634,Cracked Leather Gloves,44.8,33.6
1635,Cracked Leather Pants,96.33,72.2475
1636,Cracked Leather Vest,20,15
1637,Scratched Claymore,54.25,40.6875
1638,Large Round Shield,49.67,37.2525
1639,Club,9,6.75
1640,Shortsword,33,24.75
1641,Short Staff,89,66.75
1642,Small Shield,33.57,25.1775
1643,Hand Axe,92.2,69.15
1644,Conjured Purified Water,356,267
1645,Whittling Knife,80.17,60.1275
1646,Dirk,112.33,84.2475
1647,Carving Knife,32.44,24.33
1648,Cuirboulli Vest,37.11,27.8325
1649,Cuirboulli Belt,56.2,42.15
1650,Cuirboulli Boots,22.6,16.95
1651,Cuirboulli Bracers,206.5,154.875
1652,Cuirboulli Gloves,13.56,10.17
1653,Cuirboulli Pants,43,32.25
1654,Polished Scale Belt,45.22,33.915
1655,Polished Scale Boots,160,120
1656,Polished Scale Bracers,54.33,40.7475
1657,Polished Scale Gloves,3.13,2.3475
1658,Polished Scale Leggings,16.5,12.375
1659,Polished Scale Vest,44.5,33.375
1660,Padded Boots,5.56,4.17
1661,Padded Gloves,46.2,34.65
1662,Padded Pants,80.4,60.3
1663,Padded Armor,35.44,26.58
1664,Book from Sven's Farm,32.1,24.075
1665,Sarah's Ring,48.67,36.5025
1666,Shadowblade,26.13,19.5975
1667,Gut Ripper,68.33,51.2475
1668,Old Blanchy's Blanket,486,364.5
1669,Foreman's Leggings,269,201.75
1670,Foreman's Gloves,64,48
1671,Corpse Rompers,14.2,10.65
1672,Buzzer Blade,30.43,22.8225
1673,Rustic Belt,59,44.25
1674,Old Leather Belt,51.2,38.4
1675,Shadowhide Battle Axe,242,181.5
1676,Outfitter Belt,10,7.5
